brand_parent,model_parent,variant_parent,variant_name,price,displacement,power,transmission,mileage,fuel,engine_typr,cylinders,valves_per_cyl,gearbox,drive,fuel_cap,emission_norm,suspension_front,suspension_rear,steer_type,steer_col,turn_radius,brake_front,breake_rear,length,width,height,boot_cap,seat_cap,ground_cl,wheelbase,kerb_weight,gross_weight,doors,park_sensors,upholstery,radio_antenna,tyre_size,tyre_type,wheel_size,airbags,screen_size,connectivity,image-src,ncap_rating,ev_range,ev_battery_cap,ev_motor,ev_charge,ev_drag_coeff,zero_to_hundred,speakers,auto_park,ev_charge_time_dc,ev_charge_time_ac,ev_brake_regen_levels,ev_norm
Volvo,Volvo C40 Recharge,C40 Recharge E80,Volvo C40 Recharge E80,Rs.62.95 Lakh*Get On-Road Price*Ex-showroom Price in Pune,,402.30 bhp,,,Electric,,,,1-Speed,AWD,,ZEV,,,Electric,,,Disc,Disc,4440 mm,1873 mm,1591 mm,413 Litres,5,,2080 mm,,,4,Front & Rear,"Clean zone (Air Purifier),Humidity Sensors,Fixed Panaromic Sun Roof,Automatically dimmed inner and exterior mirror,Front tread plated metal recharge,Parking ticket holder,Waste bin in front of armrest,Glove box curry hook,Suede textile/Microtech Upholstery,Power adjustable driver seat with mamory,Power adjustable passenger seat,4 way power adjustable lumbar support,Mechanicle Cushion Extenshion Front seat,Mechanicle release fold 2nd row rear seat,Power foldable rear headrest from centre stack display,Luggage space in front,Foldable floor hatchs with grocery bag holder,Warning Triabgle,First aid kit,Connector EU type+ Quickcharge,Cord plug m type 2 Mode 2",Shark Fin,235/50 R19,"Tubeless, Radial",,7,9 Inch,,,,530 km,78 kWh,,CCS-II,,4.7Sec,,,27Min (150 kW),8 Hours,,ZEV
Volvo,Volvo XC40 Recharge,XC40 Recharge E80 ultimate,Volvo XC40 Recharge E80 ultimate,Rs.57.90 Lakh*Get On-Road Price*Ex-showroom Price in Pune,,408 bhp,,,Electric,,,,1-Speed,AWD,,ZEV,sophisticated Suspension,sophisticated Suspension,Electric,Tilt & Telescopic,,Disc,Disc,4425 mm,1873 mm,1651 mm,414 Litres,5,,2923 mm,2205 kg,,5,Front & Rear,,,"F 235/50,R 255/45","Tubeless,Radial",,7,9,,,,418 km,78 kw kWh,,CCS-II,,4.9,13,,28 Min 150 kW,,Regenerative Braking Levels,ZEV
Volvo,Volvo XC40 Recharge,XC40 Recharge E60 Plus,Volvo XC40 Recharge E60 Plus,Rs.54.95 Lakh*Get On-Road Price*Ex-showroom Price in Pune,,237.99 bhp,,,Electric,,,,1-Speed,AWD,,ZEV,sophisticated Suspension,sophisticated Suspension,Electric,Tilt & Telescopic,,Disc,Disc,4425 mm,1873 mm,1651 mm,414 Litres,5,,2923 mm,2205 kg,,5,Front & Rear,,,"F 235/50,R 255/45","Tubeless,Radial",,7,9 Inch,,,,592 km,69 kWh,,CCS-II,,4.9,8,,28 Min 150 kW,,Regenerative Braking Levels,ZEV
Volvo,Volvo XC60,XC60 B5 Ultimate,Volvo XC60 B5 Ultimate,Rs.68.90 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1969 cc,250 bhp,Automatic,,Petrol,Turbo Petrol Engine,5,4,8-Speed,AWD,70 Litres,BS VI 2.0,MacPherson Strut,Multi Link,Power,Tilt & Adjustable,5.8 meters,Disc,Disc,4708 mm,1902 mm,1653 mm,483 Litres,5,230 mm,2620 mm,1945 kg,,5,Front & Rear,,,235/55 R19,"Tubeless,Radial",,6,,,,5 Star,,,,,,,15,,,,,BS VI 2.0
Volvo,Volvo S90,S90 B5 Ultimate,Volvo S90 B5 Ultimate,Rs.68.25 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1969 cc,246.58 bhp,Automatic,,Petrol,EngineType,4,4,8-Speed,FWD,60 Litres,BS VI 2.0,Air suspension,Air suspension,,,,,,4969 mm,1879 mm,1340 mm,461 Litres,5,,2620 mm,1900 kg,,4,Front & Rear,,,245/45 R18,"Tubeless,Radial",,7,12.3,,,5 Star,,,,,,,19,,,,,BS VI 2.0
Volvo,Volvo XC90,XC 90 B6 Ultimate,Volvo XC90 B6 Ultimate,Rs.1.01 Cr*Get On-Road Price*Ex-showroom Price in Pune,1969 cc,300 bhp,Automatic,,Petrol,Drive-E turbo I4,4,4,8-Speed,AWD,68 Litres,BS VI 2.0,Air Suspension,Air Suspension,Power,Adjustable,,ventilated disc,ventilated disc,4953 mm,2140 mm,1776 mm,314 Litres,7,223 mm,2620 mm,2095 kg,,5,Front & Rear,,,,"Tubeless,Radial",,7,12.3,,,5 Star,,,,,,,19,,,,,BS VI 2.0
Strom Motors,Strom Motors R3,R3 2-Door,Strom Motors R3 2-Door,Rs.4.50 Lakh*Get On-Road Price*Ex-showroom Price in Pune,,20.11 bhp,,,Electric,,,,1-Speed,RWD,,ZEV,MacPherson Struct,Dual Shock Absorbers,,,,Hydraulic Disc,Drum,2907 mm,1450 mm,1572 mm,300 Litres,2,,2903 mm,550 kg,,2,,,,155/80 R13,"Tubeless,Radial",R13 Inch,No. of Airbags,7,,,,200 km,,,AC TYPE 2,,,,,,,,ZEV
Rolls-Royce,Rolls-Royce Cullinan,Cullinan V12,Rolls-Royce Cullinan V12,Rs.6.95 Cr*Get On-Road Price*Ex-showroom Price in Pune,6750 cc,563 bhp,Automatic,,Petrol,6.75-litre V12 engine,12,4,8-Speed,AWD,,BS VI,,,Power,Tiltable & Telescopic,,,,5341 mm,2000 mm,1835 mm,560 Litres,5,,3295 mm,2660 kg,,5,Front & Rear,,,,,,8,12,,,,,,,,,,18,Semi,,,,BS VI
Rolls-Royce,Rolls-Royce Spectre,Spectre Electric,Rolls-Royce Spectre Electric,Rs.7.50 Cr*Get On-Road Price*Ex-showroom Price in Pune,,576.63 bhp,,,Electric,,,,,AWD,,ZEV,,,,,,Ventilated Disc,Ventilated Disc,5475 mm,2144 mm,1573 mm,,4,,2636 mm,2890 kg,,2,Front & Rear,Leather,,,,,,,,,,530 km,102 kWh,,,0.25,4.5,,Full,,,,ZEV
Rolls-Royce,Rolls-Royce Phantom,Phantom Extended Wheelbase,Rolls-Royce Phantom Extended Wheelbase,Rs.10.48 Cr*Get On-Road Price*Ex-showroom Price in Pune,6749 cc,563 bhp,Automatic,,Petrol,V12 Petrol Engine,12,4,8-Speed,RWD,100 Litres,BS VI,Double Wishbone,Multi Link,Power,Tilt,6.8 metres,Ventilated Disc,Ventilated Disc,5982 mm,2018 mm,1656 mm,460 Litres,5,164 mm,3772 mm,2745 kg,3170 kg,4,Front & Rear,Optional,,"255/50 R21,285/45 R21","Tubeless,Radial",,9,,,,,,,,,,,,Full,,,,BS VI
