variant_name,power,transmission,fuel,drive,emission_norm,steer_type,steer_col,turn_radius,seat_cap,doors,park_sensors,airbags,screen_size,mileage_kmpl,gross_weight_kg,displacement_cc,fuel_cap_liters,boot_cap_liters,length_mm,width_mm,height_mm,ground_cl_mm,price_lakhs
Citroen C3 Shine Dual Tone Turbo,108.62 bhp,Manual,Petrol,FWD,BS VI 2.0,Electric,Tilt,4.98,5.0,5.0,Rear,2,10.23 Inch,19,1455,1199,30,315,3981,1733,1604,0,9.0
Citroen C3 Feel Dual Tone Turbo,108.62 bhp,Manual,Petrol,FWD,BS VI 2.0,Electric,Tilt,4.98,5.0,5.0,Rear,2,10.23 Inch,19,1448,1199,30,315,3981,1733,1604,0,8.47
Nissan Magnite Turbo XV Premium Opt,98.63 bhp,Manual,Petrol,FWD,BS VI 2.0,Electronic,Tilt,5,5.0,5.0,Rear,2,8 Inch,20,0,999,40,336,3994,1758,1572,205,10.0
Nissan Magnite Turbo XV Premium DT,98.63 bhp,Manual,Petrol,FWD,BS VI 2.0,Electronic,Tilt,5,5.0,5.0,Rear,2,8 Inch,20,0,999,40,336,3994,1758,1572,205,9.96
Nissan Magnite Turbo XV Premium,98.63 bhp,Manual,Petrol,FWD,BS VI 2.0,Electronic,Tilt,5,5.0,5.0,Rear,2,8 Inch,20,0,999,40,336,3994,1758,1572,205,9.8
Nissan Magnite Kuro Turbo,98.63 bhp,Manual,Petrol,FWD,BS VI,Electronic,Tilt,5,5.0,5.0,Rear,2,8,20,0,999,40,336,3994,1758,1572,205,9.65
Nissan Magnite Turbo XV Red Edition,98.63 bhp,Manual,Petrol,FWD,BS VI,Electronic,Tilt,5,5.0,5.0,Rear,2,8,20,0,999,40,336,3994,1758,1572,205,9.44
Nissan Magnite Turbo XV DT,98.63 bhp,Manual,Petrol,FWD,BS VI 2.0,Electronic,Tilt,5,5.0,5.0,Rear,2,8 Inch,20,0,999,40,336,3994,1758,1572,205,9.35
Nissan Magnite Turbo XV,98.63 bhp,Manual,Petrol,FWD,BS VI 2.0,Electronic,Tilt,5,5.0,5.0,Rear,2,8 Inch,20,0,999,40,336,3994,1758,1572,205,9.19
Nissan Magnite XV Premium AMT DT,71.01 bhp,Automatic,Petrol,FWD,BS VI 2.0,Electronic,Tilt,5,5.0,5.0,Rear,2,8 Inch,19,0,999,40,336,3994,1758,1572,205,9.12
Nissan Magnite XV Premium AMT,71.01 bhp,Automatic,Petrol,FWD,BS VI 2.0,Electronic,Tilt,5,5.0,5.0,Rear,2,8 Inch,19,0,999,40,336,3994,1758,1572,205,8.96
Nissan Magnite XV Premium DT,71.01 bhp,Manual,Petrol,FWD,BS VI 2.0,Electronic,Tilt,5,5.0,5.0,Rear,2,8 Inch,19,0,999,40,336,3994,1758,1572,205,8.76
